company_code,company_name,exchange,industry,segment
600276,恒瑞医药,SSE,医药生物,创新药
300760,迈瑞医疗,SZSE,医药生物,医疗器械
300015,爱尔眼科,SZSE,医药生物,医疗服务
603939,益丰药房,SSE,医药生物,连锁药房
688271,联影医疗,SSE,医药生物,医疗器械
603259,药明康德,SSE,医药生物,CXO
